"점수","긴급도","회사","회사코드","헤드라인","부제(N1)","방향(GOOD/BAD/MIXED)","출고리스크","가치방향","산업트렌드대비","스토리각도","추가확인필요","IR질문후보","교차검증","보도여부","보도수","단서유형","severity","정보격차","사실매칭","비교페어_과거","비교페어_최신","비교id","단서id","출처경로","단서생성일","N1검증일"
"","THIS_WEEK","블루콤","00238001","블루콤, 무선이어폰 사업 2025년 말 종료…수익성 악화 직격탄","","BAD","LOW","","","블루콤이 주력 사업이었던 무선이어폰 사업을 수익성 악화로 인해 사실상 중단하기로 결정했습니다. 이는 회사의 미래 성장 동력에 대한 심각한 우려를 제기하며 투자자들에게 중요한 경고 신호가 될 것입니다.","사업 종료로 인한 구체적인 재무적 영향 (매출 감소, 손실 규모 등) 및 향후 사업 계획에 대한 추가 정보 확인","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1686","4092","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260319 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","흥구석유(주)","00167004","흥구석유, 연간 매출총이익 적자 전환 '충격'","","BAD","LOW","RISK_WARNING","ALIGNED","흥구석유가 1분기 흑자에서 연간 기준으로 매출총이익 적자로 전환되며 수익성 악화에 대한 우려가 커지고 있습니다. 석유 유통업계의 전반적인 불황 속에서 회사의 돌파구 마련이 시급해 보입니다.","매출총이익 적자 전환의 구체적인 원인(원가 상승, 판매가 하락 등)에 대한 회사 측의 공식적인 설명이 있는지 확인 필요.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1219","4060","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250514 / filing_date_prior:20260327 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","금호전기","00106395","금호전기, 연간 영업이익 적자 전환 '충격'","","BAD","LOW","RISK_WARNING","CONTRARIAN","금호전기가 연간 영업이익에서 흑자에서 적자로 전환하며 수익성 악화가 심화되었습니다. 주력 사업인 일반조명 부문의 부진이 지속되며 향후 사업 전망에 대한 우려가 커지고 있습니다.","소프트웨어 부문의 매출 급감 원인 및 향후 사업 전략, 일반조명 부문의 실적 부진 구체적 사유 및 개선 방안","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","124","3937","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:52","2026-06-15 09:17:48"
"","THIS_WEEK","에스퓨얼셀","01257872","에스퓨얼셀, 평균 가동률 20%→3% '급락'","","BAD","LOW","RISK_WARNING","ALIGNED","에스퓨얼셀의 건물용 연료전지 평균 가동률이 1년 새 20%에서 3%로 급감하며 생산 차질 및 고정비 부담 증가가 예상됩니다. 이는 회사의 수익성과 재무 건전성에 상당한 부담으로 작용할 수 있습니다.","가동률 급락의 구체적인 원인 (수주 부진, 생산 설비 문제, 원자재 수급 문제 등) 및 향후 개선 계획","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","STRONG","2025_annual","2026_q1","9049","3821","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260319 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","알톤","00821607","알톤, 흑자 전환 후 분기 적자 전환… 생산능력 축소 '경고등'","","BAD","LOW","NEGATIVE_DECLINE","CONTRARIAN","알톤이 연간 흑자 전환에 성공했으나, 최근 분기 실적이 다시 악화되며 영업손실을 기록했습니다. 더불어 생산 능력까지 축소된 정황은 회사의 경영 환경에 대한 우려를 증폭시킵니다.","생산능력 축소의 구체적인 규모와 원인, 향후 계획에 대한 회사 측의 공식적인 입장 확인이 필요합니다.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9567","3700","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:10","2026-06-08 19:53:21"
"","THIS_WEEK","YW","00296263","YW, 1분기 매출·영업익 20%대 급감 '수익성 경고'","","BAD","LOW","RISK_WARNING","ALIGNED","YW의 렌탈 및 기업금융 사업 부진이 1분기 실적에 직격탄을 날렸다. 과거 성장세와 대비되는 급락세의 원인과 향후 사업 전략 점검이 시급하다.","수익성 급락의 구체적인 원인(예: 특정 사업 부문의 부진 심화, 비용 증가 등) 및 향후 실적 개선 계획에 대한 회사 측의 공식적인 입장을 확인해야 합니다.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8658","3549","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:09","2026-06-08 19:53:21"
"","THIS_WEEK","국영지앤엠","00104537","국영지앤엠, 수익성 급락 '경고등'","","BAD","LOW","RISK_WARNING","ALIGNED","국영지앤엠의 수익성이 급락하며 업계 전반의 저가 수주 경쟁 심화와 건설사 부실 리스크가 수면 위로 떠오르고 있습니다. 이는 회사의 재무 건전성뿐만 아니라 관련 산업 생태계 전반에 대한 경고 신호로 해석될 수 있습니다.","수익성 급락의 구체적인 원인 (예: 특정 프로젝트의 손실, 원자재 가격 변동 영향 등) 및 향후 수익성 개선을 위한 회사의 구체적인 대응 전략에 대한 추가 확인이 필요합니다.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","7781","3329","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-05 22:59:14","2026-06-08 19:53:21"
"","IMMEDIATE","클립스비엔씨 주식회사","01187573","클립스비엔씨, 자본잠식 지속…재무 개선 시급","","BAD","LOW","RISK_WARNING","ALIGNED","클립스비엔씨의 지속적인 자본 잠식 상태는 투자자들에게 심각한 재무 리스크를 경고합니다. 이는 기업의 존속 가능성과 투자 가치에 대한 근본적인 의문을 제기합니다.","자본 잠식 해소를 위한 구체적인 자구책 및 자본 확충 계획 확인.","","CONFIRMED","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","4539","3153","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260331 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-05 22:59:13","2026-06-07 21:20:03"
"","THIS_WEEK","TCC스틸","00117300","TCC스틸, 연간 영업손실 전환 '적자 쇼크'","","BAD","LOW","RISK_WARNING","ALIGNED","TCC스틸이 과거 흑자 기조에서 벗어나 연간 영업손실을 기록하며 수익성 악화에 직면했습니다. 이는 원자재 가격 변동과 시장 상황 변화에 대한 회사의 대응 능력을 시험대에 올릴 것으로 보입니다.","영업손실의 구체적인 원인(원재료 가격 상승, 판매량 감소, 비용 증가 등) 및 향후 실적 개선 계획에 대한 회사 측의 공식적인 입장을 확인해야 합니다.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","343","2456","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-05 22:59:11","2026-06-08 14:14:08"
"","THIS_WEEK","한솔홈데코","00203582","한솔홈데코, 토탈 인테리어 사업 접고 '선택과 집중'","","GOOD","LOW","TRANSFORMATION","ALIGNED","한솔홈데코가 비주력 사업인 토탈 인테리어 사업을 완전히 청산하며 핵심 사업인 목재 사업에 집중한다. 이는 수익성 개선과 재무 건전성 확보를 위한 전략적 선택으로, 향후 건설 경기 회복 시 이익 레버리지 효과를 기대할 수 있다.","토탈 인테리어 사업 중단으로 인한 구체적인 손실 규모 및 향후 목재 사업부의 구체적인 투자 계획 및 목표 영업이익률.","","CONFIRMED","exclusive","","strategy_change","5","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1476","4075","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260311 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
